iter	RMSE
519	0.4412736001
520	0.4410629804
521	0.4407658473
522	0.4407172968
523	0.4407013451
524	0.4406246591
525	0.4401997842
526	0.4396747151
527	0.4393766698
528	0.438927229
529	0.438724254
530	0.4384561045
531	0.4379143285
532	0.4375747821
533	0.4373214447
534	0.4372679819
535	0.4363746729
536	0.4359807087
537	0.4355057227
538	0.4353763736
539	0.4347180463
540	0.4343044536
541	0.4339307009
542	0.4335548575
543	0.4335390295
544	0.4331252573
545	0.4328255559
546	0.4326895858
547	0.4321449114
548	0.4318656745
549	0.4315497316
550	0.4309689436
551	0.4307044171
552	0.4305984945
553	0.4303216797
554	0.4302071345
555	0.4299447497
556	0.4296081533
557	0.4293636122
558	0.4289732405
559	0.428625431
560	0.4285110496
561	0.4282908579
562	0.4279458464
563	0.4273700436
564	0.4270882309
565	0.4267971366
566	0.4264826803
567	0.4259603859
568	0.4258332522
569	0.4254972947
570	0.424935409
571	0.4242792347
572	0.4238536297
573	0.4234233537
574	0.422818908
575	0.4224236522
576	0.4219076341
577	0.4214602945
578	0.4209594793
579	0.420700465
580	0.4205940724
581	0.4202955058
582	0.4197804578
583	0.4196353775
584	0.4191628386
585	0.4186992032
586	0.4186429296
587	0.4183988308
588	0.4178551059
589	0.4174525413
590	0.416934451
591	0.4165957961
592	0.4163239569
593	0.416112149
594	0.4157511771
595	0.4154053534
596	0.4150463122
597	0.4145508468
598	0.4144361265
599	0.4138971884
600	0.4135761685
601	0.4131079599
602	0.4130649893
603	0.4127866293
604	0.4124810179
605	0.4121955558
606	0.4119962522
607	0.4118524638
608	0.4116015132
609	0.4112423063
610	0.410775387
611	0.4103764904
612	0.4100696333
613	0.4099044141
614	0.4094778428
615	0.4093615608
616	0.4089913317
617	0.4086552395
618	0.4083779987
619	0.4080127586
620	0.4076985141
621	0.4072643438
622	0.4067144376
623	0.4064928676
624	0.406243056
625	0.4061032744
626	0.4057345498
627	0.4053020743
628	0.4052494664
629	0.4050059279
630	0.404910745
631	0.4046240255
632	0.4043238308
633	0.4041918179
634	0.4038647301
635	0.4036580902
636	0.4032219237
637	0.4031101262
638	0.4028948399
639	0.4026436366
640	0.4023957516
641	0.4023397612
642	0.4019985596
643	0.4015071706
644	0.4012275451
645	0.4011283166
646	0.4008726454
647	0.4007017004
648	0.4005532557
649	0.4004469408
650	0.3998381023
651	0.3997233913
652	0.3996250624
653	0.3994165311
654	0.3990018551
655	0.3985825118
656	0.3983660916
657	0.398173002
658	0.3979158725
659	0.3976305961
660	0.3970829942
661	0.3968135722
662	0.3964886761
663	0.3961827853
664	0.3960052406
665	0.3957768546
666	0.3956884506
667	0.395421528
668	0.3953371156
669	0.3950964276
670	0.3946725658
671	0.3944027118
672	0.3940465839
673	0.3936024215
674	0.3932420245
675	0.3931131113
676	0.3930080694
677	0.3928317112
678	0.3924472773
679	0.3918396472
680	0.3916998539
681	0.3911050692
682	0.3908844519
683	0.3906071316
684	0.3904883571
685	0.3902298885
686	0.3900171292
687	0.3898528572
688	0.3896166571
689	0.3893515676
690	0.3887744196
691	0.388674261
692	0.3880198423
693	0.3877415514
694	0.3874950033
695	0.387297931
696	0.3869891094
697	0.3866148435
698	0.3863988242
699	0.386227943
700	0.3861185137
701	0.3860279143
702	0.3857105464
703	0.3853038292
704	0.3850155977
705	0.3847493437
706	0.3844095001
707	0.3842275791
708	0.3839518011
709	0.3838285073
710	0.3835371096
711	0.3829281401
712	0.3827251135
713	0.3826402172
714	0.3825057846
715	0.3821639152
716	0.3819979114
717	0.38179841
718	0.3815748933
719	0.3813394161
720	0.3808677518
721	0.3806975573
722	0.3804402523
723	0.3801878152
724	0.3800837031
725	0.3799704679
726	0.3795258068
727	0.3794282639
728	0.3793506666
729	0.3792771501
730	0.379186081
731	0.3789759549
732	0.3787518599
733	0.3785366211
734	0.3784537049
735	0.3783748066
736	0.3779632583
737	0.3777771056
738	0.377419771
739	0.3773278546
740	0.3771601631
741	0.3769539515
742	0.376434905
743	0.3759896527
744	0.3755173218
745	0.3752916661
746	0.375210305
747	0.3746551887
748	0.3743061886
749	0.3740647175
750	0.3735744302
751	0.3731678288
752	0.3727530254
753	0.3725358188
754	0.3724873539
755	0.3722785799
756	0.3722093916
757	0.3717905916
758	0.3715185043
759	0.3713177064
760	0.3711901029
761	0.3709976129
762	0.3707275104
763	0.3704656693
764	0.3702186967
765	0.37003658
766	0.3697973615
767	0.3695465415
768	0.3690928318
769	0.3690090262
770	0.3686900554
771	0.3685130742
772	0.3683867104
773	0.3682420527
774	0.3677508413
775	0.3673233257
776	0.3670735187
777	0.3667859822
778	0.3665565217
779	0.3662816819
780	0.365836331
781	0.3653134894
782	0.3650639199
783	0.36497643
784	0.3647943082
785	0.3645496359
786	0.3640385237
787	0.363778477
788	0.3635240691
789	0.3633203863
790	0.3631101042
791	0.3627273193
792	0.3625426989
793	0.3624984023
794	0.3623253358
795	0.3621059624
796	0.3616906133
797	0.361629991
798	0.361411463
799	0.3612284903
800	0.360816865
801	0.3604310133
802	0.3601319499
803	0.3599785701
804	0.3596465663
805	0.3591314494
806	0.3590726071
807	0.3589403057
808	0.3584256129
809	0.3580126767
810	0.3578179789
811	0.3577014243
812	0.3573076537
813	0.3570863147
814	0.3566535913
815	0.3565025854
816	0.3561222066
817	0.3558727649
818	0.3557793909
819	0.355555355
820	0.3551591128
821	0.3548447305
822	0.3544083091
823	0.3541919366
824	0.3539551528
825	0.3536627193
826	0.3533365891
827	0.3531217171
828	0.3528466751
829	0.3526099805
830	0.3523610559
831	0.3522145581
832	0.351943491
833	0.3516806423
834	0.3516103362
835	0.3514146814
836	0.351138837
837	0.3509408761
838	0.350620459
839	0.3502112094
840	0.3499318985
841	0.3495690524
842	0.3492577054
843	0.3490113389
844	0.3489586072
845	0.3486914242
846	0.3484882585
847	0.3482138889
848	0.3478303651
849	0.3474972424
850	0.3472033997
851	0.3467840233
852	0.3465143633
853	0.3461123032
854	0.3458970694
855	0.3455845455
856	0.3453257384
857	0.345221978
858	0.3449648069
859	0.3447948854
860	0.3443951228
861	0.3440932577
862	0.3439806899
863	0.3438024236
864	0.3435185022
865	0.3429385228
866	0.3427776066
867	0.3423248886
868	0.3421798898
869	0.3419129215
870	0.3416395924
871	0.3415621177
872	0.3413136795
873	0.3410441288
874	0.3407836651
875	0.3405468311
876	0.3402744176
877	0.3399079242
878	0.3396387828
879	0.3393938198
880	0.3391490225
881	0.3389703056
882	0.3384781755
883	0.3382822326
884	0.3378774734
885	0.3377613059
886	0.3376322272
887	0.3374434771
888	0.3372755494
889	0.3369216424
890	0.3366469418
891	0.3363038007
892	0.3360764682
893	0.3358913119
894	0.3357114923
895	0.335594751
896	0.3355501168
897	0.335406957
898	0.3353293319
899	0.3351129487
900	0.3348027763
901	0.3345786716
902	0.3343077909
903	0.334274646
904	0.3342197629
905	0.3339982112
906	0.3338705052
907	0.3338232354
908	0.3335561711
909	0.3332558343
910	0.333036696
911	0.3328192705
912	0.332537363
913	0.3323810516
914	0.3323549259
915	0.332198467
916	0.3319906457
917	0.3318735612
918	0.3315639837
919	0.3314719404
920	0.3312659068
921	0.3312159731
922	0.3311574837
923	0.3308111273
924	0.3308019678
925	0.3306164444
926	0.3303386865
927	0.3302406729
928	0.3301102089
929	0.3299004028
930	0.3297163644
931	0.3293622569
932	0.3290385317
933	0.3287782528
934	0.3285415835
935	0.3283291904
936	0.3281012578
937	0.3277511548
938	0.3273520004
939	0.327260557
940	0.3270138351
941	0.3269988264
942	0.3267854389
943	0.3267445446
944	0.3265674266
945	0.3264486221
946	0.326301811
947	0.3259751431
948	0.3256935687
949	0.3255814325
950	0.3253341389
951	0.3250737569
952	0.3249070873
953	0.3246610652
954	0.324618449
955	0.324391626
956	0.3240907541
957	0.3238688927
958	0.3236163873
959	0.3233511044
960	0.3232866012
961	0.3232048138
962	0.3231697037
963	0.3231554841
964	0.322842738
965	0.322576262
966	0.3223649367
967	0.3220851034
968	0.3217884059
969	0.3216615795
970	0.321377581
971	0.3211950813
972	0.3209200746
973	0.3206720747
974	0.3206566406
975	0.3203778239
976	0.3201352744
977	0.3201183082
978	0.3199368137
979	0.3197458381
980	0.319731007
981	0.3193920159
982	0.3191346566
983	0.3189556037
984	0.3186676863
985	0.3184861624
986	0.3184310515
987	0.3181761329
988	0.3180668328
989	0.3179345997
990	0.3177133826
991	0.3175509187
992	0.317452478
993	0.3172924708
994	0.3169969321
995	0.3168895371
996	0.3167470544
997	0.3166413451
998	0.3164142049
999	0.3162158498
